TADFER,Tadorna ferruginea,,ruostesorsa,rostand,Ruddy Shelduck,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2013/04/22/20/02/ruddy-shelduck-106544__480.jpg
TADTAD,Tadorna tadorna,,ristisorsa,gravand,Common Shelduck,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2018/08/03/15/03/common-shelduck-3582082__340.jpg
AIXGAL,Aix galericulata,C,mandariinisorsa,mandarinand,Mandarin Duck,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2015/05/20/14/48/mandarin-duck-775558__340.jpg
ANAPEN,Anas penelope,,haapana,bläsand,Eurasian Wigeon,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2020/01/20/23/50/wigeon-duck-4781750__340.jpg
ANAAME,Anas americana,,amerikanhaapana,amerikansk bläsand,American Wigeon,Sorsalinnut,Sorsat,
ANASTR,Anas strepera,,harmaasorsa,snatterand,Gadwall,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2019/05/13/18/38/gadwall-4200627__340.jpg
ANAFOR,Anas formosa,,siperiantavi,gulkindad kricka,Baikal Teal,Sorsalinnut,Sorsat,
ANACRE,Anas crecca,,tavi,kricka,Eurasian Teal,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2017/03/20/21/39/animal-2160439__340.jpg
ANACAR,Anas carolinensis,,amerikantavi,amerikansk kricka,Green-winged Teal,Sorsalinnut,Sorsat,
ANAPLA,Anas platyrhynchos,,sinisorsa,gräsand,Mallard,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2018/09/23/21/40/duck-3698610__340.jpg
ANARUB,Anas rubripes,,nokisorsa,svartand,Black Duck,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2020/07/31/05/34/bird-5451983__480.jpg
ANAACU,Anas acuta,,jouhisorsa,stjärtand,Northern Pintail,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2022/05/12/22/09/duck-7192470__340.jpg
ANAQUE,Anas querquedula,,heinätavi,årta,Garganey,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2022/03/30/13/41/bird-7101197__340.jpg
ANADIS,Anas discors,,sinisiipitavi,blåvingad årta,Blue-winged Teal,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2021/04/05/20/41/blue-winged-teal-6154603__340.jpg
ANACLY,Anas clypeata,,lapasorsa,skedand,Northern Shoveler,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2022/02/14/10/48/bird-7012892__340.jpg
NETRUF,Netta rufina,,punapäänarsku,rödhuvad dykand,Red-crested Pochard,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2021/10/16/10/32/anade-6714685__480.jpg
AYTFER,Aythya ferina,,punasotka,brunand,Common Pochard,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2018/11/20/05/04/pochard-3826533__340.jpg
AYTCOL,Aythya collaris,,amerikantukkasotka,ringand,Ring-necked Duck,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2016/03/07/19/13/duck-1242811_960_720.jpg
AYTNYR,Aythya nyroca,,ruskosotka,vitögd dykand,Ferruginous Duck,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2017/06/16/09/11/ferruginous-duck-2408352__340.jpg
AYTFUL,Aythya fuligula,,tukkasotka,vigg,Tufted Duck,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2020/02/02/21/06/tufted-duck-4814171__340.jpg
AYTMAR,Aythya marila,,lapasotka,bergand,Greater Scaup,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2019/07/22/23/43/greater-scaup-4356282__480.jpg
AYTAFF,Aythya affinis,,pikkulapasotka,mindre bergand,Lesser Scaup,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2021/09/17/18/27/lesser-scaup-6633424__480.jpg
SOMMOL,Somateria mollissima,,haahka,ejder,Common Eider,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2021/04/08/18/31/eider-6162542__340.jpg
SOMSPE,Somateria spectabilis,,kyhmyhaahka,praktejder,King Eider,Sorsalinnut,Sorsat,
POLSTE,Polysticta stelleri,,allihaahka,alförrädare,Steller's Eider,Sorsalinnut,Sorsat,
HISHIS,Histrionicus histrionicus,,virta-alli,strömand,Harlequin Duck,Sorsalinnut,Sorsat,https://cdn.pixabay.com/photo/2021/12/03/12/05/birds-6842636__340.jpg
